"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-13;"g#";-12;"a";"2017-09-22";"4";14
-13;"g#";-12;"a";"2017-09-22";"5";14
-11;"a#";-10;"b";"2017-09-22";"6";14
-10;"b";-10;"b";"2017-09-22";"7";14
2;"b'";-9;"c'";"2017-09-22";"8";14
-9;"c'";-9;"c'";"2017-09-22";"9";14
-9;"c'";-9;"c'";"2017-09-22";"10";14
-9;"c'";-7;"d'";"2017-09-22";"11";14
-7;"d'";-7;"d'";"2017-09-22";"12";14
-7;"d'";-7;"d'";"2017-09-22";"13";14
-7;"d'";-5;"e'";"2017-09-22";"14";14
-5;"e'";-5;"e'";"2017-09-22";"15";14
-5;"e'";-5;"e'";"2017-09-22";"16";14
-43;"D,";-3;"f#'";"2017-09-22";"17";14
-3;"f#'";-3;"f#'";"2017-09-22";"18";14
-2;"g'";-3;"f#'";"2017-09-22";"19";14
-38;"G,";-2;"g'";"2017-09-22";"20";14
-7;"d'";-2;"g'";"2017-09-22";"21";14
-43;"D,";-14;"g";"2017-09-22";"1";15
-37;"G#,";-14;"g";"2017-09-22";"2";15
-13;"g#";-14;"g";"2017-09-22";"3";15
-12;"a";-12;"a";"2017-09-22";"4";15
-13;"g#";-12;"a";"2017-09-22";"5";15
-11;"a#";-10;"b";"2017-09-22";"6";15
-11;"a#";-10;"b";"2017-09-22";"7";15
-9;"c'";-9;"c'";"2017-09-22";"8";15
-9;"c'";-9;"c'";"2017-09-22";"9";15
-9;"c'";-9;"c'";"2017-09-22";"10";15
-7;"d'";-7;"d'";"2017-09-22";"11";15
-7;"d'";-7;"d'";"2017-09-22";"12";15
-7;"d'";-7;"d'";"2017-09-22";"13";15
0;"a'";-5;"e'";"2017-09-22";"14";15
-44;"C#,";-5;"e'";"2017-09-22";"15";15
-3;"f#'";-5;"e'";"2017-09-22";"16";15
-3;"f#'";-3;"f#'";"2017-09-22";"17";15
-21;"c";-3;"f#'";"2017-09-22";"18";15
-2;"g'";-3;"f#'";"2017-09-22";"19";15
-3;"f#'";-2;"g'";"2017-09-22";"20";15
-2;"g'";-2;"g'";"2017-09-22";"21";15
-78;" ";-14;"g";"2017-09-23";"1";16
-43;"D,";-14;"g";"2017-09-23";"2";16
-2;"g'";-14;"g";"2017-09-23";"3";16
-2;"g'";-12;"a";"2017-09-23";"4";16
-12;"a";-12;"a";"2017-09-23";"5";16
-12;"a";-10;"b";"2017-09-23";"6";16
-10;"b";-10;"b";"2017-09-23";"7";16
-11;"a#";-9;"c'";"2017-09-23";"8";16
-11;"a#";-9;"c'";"2017-09-23";"9";16
-9;"c'";-9;"c'";"2017-09-23";"10";16
-9;"c'";-7;"d'";"2017-09-23";"11";16
-7;"d'";-7;"d'";"2017-09-23";"12";16
-7;"d'";-7;"d'";"2017-09-23";"13";16
-5;"e'";-5;"e'";"2017-09-23";"14";16
-5;"e'";-5;"e'";"2017-09-23";"15";16
-3;"f#'";-5;"e'";"2017-09-23";"16";16
-3;"f#'";-3;"f#'";"2017-09-23";"17";16
-3;"f#'";-3;"f#'";"2017-09-23";"18";16
-2;"g'";-3;"f#'";"2017-09-23";"19";16
-2;"g'";-2;"g'";"2017-09-23";"20";16
-2;"g'";-2;"g'";"2017-09-23";"21";16
-80;" ";-14;"g";"2017-09-23";"1";17
-8;"c#'";-14;"g";"2017-09-23";"2";17
-14;"g";-14;"g";"2017-09-23";"3";17
-14;"g";-12;"a";"2017-09-23";"4";17
-13;"g#";-12;"a";"2017-09-23";"5";17
-2;"g'";-10;"b";"2017-09-23";"6";17
-2;"g'";-10;"b";"2017-09-23";"7";17
-10;"b";-9;"c'";"2017-09-23";"8";17
-10;"b";-9;"c'";"2017-09-23";"9";17
-8;"c#'";-9;"c'";"2017-09-23";"10";17
-9;"c'";-7;"d'";"2017-09-23";"11";17
-9;"c'";-7;"d'";"2017-09-23";"12";17
-7;"d'";-7;"d'";"2017-09-23";"13";17
-7;"d'";-5;"e'";"2017-09-23";"14";17
-7;"d'";-5;"e'";"2017-09-23";"15";17
-6;"d#'";-5;"e'";"2017-09-23";"16";17
-6;"d#'";-3;"f#'";"2017-09-23";"17";17
-6;"d#'";-3;"f#'";"2017-09-23";"18";17
-3;"f#'";-3;"f#'";"2017-09-23";"19";17
-3;"f#'";-2;"g'";"2017-09-23";"20";17
-43;"D,";-2;"g'";"2017-09-23";"21";17
-82;" ";-14;"g";"2017-09-23";"1";18
-43;"D,";-14;"g";"2017-09-23";"2";18
-14;"g";-14;"g";"2017-09-23";"3";18
-42;"D#,";-12;"a";"2017-09-23";"4";18
-1;"g#'";-12;"a";"2017-09-23";"5";18
-43;"D,";-10;"b";"2017-09-23";"6";18
-1;"g#'";-10;"b";"2017-09-23";"7";18
-10;"b";-9;"c'";"2017-09-23";"8";18
-10;"b";-9;"c'";"2017-09-23";"9";18
-9;"c'";-9;"c'";"2017-09-23";"10";18
-9;"c'";-7;"d'";"2017-09-23";"11";18
-7;"d'";-7;"d'";"2017-09-23";"12";18
-7;"d'";-7;"d'";"2017-09-23";"13";18
-7;"d'";-5;"e'";"2017-09-23";"14";18
-5;"e'";-5;"e'";"2017-09-23";"15";18
-5;"e'";-5;"e'";"2017-09-23";"16";18
-3;"f#'";-3;"f#'";"2017-09-23";"17";18
-3;"f#'";-3;"f#'";"2017-09-23";"18";18
-2;"g'";-3;"f#'";"2017-09-23";"19";18
-2;"g'";-2;"g'";"2017-09-23";"20";18
-2;"g'";-2;"g'";"2017-09-23";"21";18
-41;"E,";-14;"g";"2017-09-23";"1";19
-41;"E,";-14;"g";"2017-09-23";"2";19
-26;"G";-14;"g";"2017-09-23";"3";19
-26;"G";-12;"a";"2017-09-23";"4";19
-26;"G";-12;"a";"2017-09-23";"5";19
-26;"G";-10;"b";"2017-09-23";"6";19
-41;"E,";-10;"b";"2017-09-23";"7";19
